MAC1,MAC2,MAC3,MAC4,MAC5,MAC6,MAC7,MAC8,MAC9,MAC10,MAC11,MAC12,MAC13,MAC14,MAC15,MAC16,MAC17,MAC18,MAC19,MAC20,MAC21,MAC22,MAC23,MAC24,MAC25,MAC26,MAC27,MAC28,MAC29,MAC30,MAC31,MAC32,MAC33,MAC34,MAC35,MAC36,MAC37,MAC38,MAC39,MAC40,MAC41,MAC42,MAC43,MAC44,MAC45,MAC46,MAC47,MAC48,MAC49,MAC50,MAC51,MAC52,ECoord,NCoord,FloorID,BuildingID,SceneID,UserID,PhoneID,SampleTimes
-85,100,-60,-73,-42,-53,100,100,100,100,-95,100,100,100,100,100,-33,-40,-74,100,-95,100,-83,100,100,100,-80,100,-68,-87,-88,100,-74,100,-45,-56,-82,100,-79,100,-79,100,-88,100,100,100,-51,-55,-88,100,-70,100,53.3,41.8,1,1,1,4,3,1
-85,100,-55,-74,-40,-49,100,100,100,100,-95,100,100,100,100,100,-41,-41,-73,100,-95,100,-83,100,100,100,-80,100,-68,-87,-86,100,-66,-89,-46,-55,-82,100,-75,100,-70,100,-91,100,100,100,-54,-51,-88,100,-73,100,53.3,42.7,1,1,1,4,3,1
100,100,-61,-75,-43,-43,100,100,100,100,100,100,100,100,100,100,-47,-45,-75,100,-91,100,-83,100,100,100,-79,100,-66,-86,-85,100,-64,-89,-41,-58,100,100,-81,100,-69,100,-91,100,100,100,-53,-52,100,100,-79,100,53.3,43.5,1,1,1,4,3,1
-85,100,-63,-77,-45,-42,100,100,100,100,100,100,100,100,100,100,-37,-48,-71,-88,-90,100,-90,100,100,100,-86,100,-68,-85,-90,100,-70,100,-45,-56,-78,100,-82,100,-85,100,-92,100,100,100,-54,-50,100,100,-79,100,53.3,44.3,1,1,1,4,3,1
-79,100,-55,-77,-47,-48,100,100,100,100,100,100,100,100,100,100,-44,-51,-73,100,100,100,-89,100,100,100,-85,100,-66,100,-91,100,-69,100,-41,-57,-80,100,-81,100,-87,100,-92,100,100,100,-50,-56,100,100,-78,100,53.3,45.2,1,1,1,4,3,1
-81,100,-60,-75,-46,-48,100,100,100,100,100,100,100,100,100,100,-42,-53,-72,100,100,100,-88,100,100,100,-87,100,-63,-83,-91,100,-67,-87,-38,-55,-81,100,-76,100,-73,100,100,100,100,100,-48,-54,100,100,-77,100,53.3,46,1,1,1,4,3,1
-82,100,-55,-76,-42,-46,100,100,100,100,100,100,100,100,100,100,-43,-49,-73,100,100,100,100,100,100,100,-92,100,-61,-82,100,100,-73,-87,-37,-53,-80,100,-70,100,-75,100,100,100,100,100,-50,-53,100,100,-81,100,53.3,46.8,1,1,1,4,3,1
-82,100,-59,-70,-43,-47,100,100,100,100,100,100,100,100,100,100,-46,-46,-77,-89,100,-89,100,100,100,100,-94,100,-67,-82,100,100,-69,-89,-39,-47,-76,100,-65,100,-76,100,100,100,100,100,-51,-56,100,100,-81,100,53.3,47.7,1,1,1,4,3,1
-87,100,-60,-68,-45,-51,100,100,100,100,100,100,100,100,100,100,-45,-58,-71,-91,100,-89,100,100,100,100,-90,100,-62,-86,-93,100,-71,-89,-41,-50,-78,100,-76,100,-78,100,100,100,100,100,-56,-61,100,100,-87,100,53.3,48.5,1,1,1,4,3,1
-89,100,-59,-67,-48,-48,100,100,100,100,100,100,100,100,100,100,-45,-57,-70,-89,-90,-89,-91,100,100,100,-90,100,-72,-86,-93,100,-77,100,-46,-50,-70,100,-75,100,-81,100,-92,100,100,100,-52,-54,100,100,-86,100,53.3,49.3,1,1,1,4,3,1
-89,100,-59,-71,-40,-44,100,100,100,100,100,100,100,100,100,100,-47,-54,-75,-88,-90,-91,-92,100,100,100,-92,100,-63,-85,-94,100,-66,-85,-43,-47,-71,100,-73,100,-88,100,-91,100,100,100,-51,-55,100,100,-91,100,53.4,50.2,1,1,1,4,3,1
-90,100,-59,-74,-38,-45,100,100,100,100,100,100,100,100,100,100,-47,-50,-78,-91,100,-91,-92,100,100,100,-93,100,-63,-83,-94,100,-62,-86,-38,-49,-71,-88,-76,100,-84,100,-91,100,100,100,-55,-58,100,100,-92,100,53.4,51,1,1,1,4,3,1
-90,100,100,-76,-33,-43,100,100,100,100,100,100,100,100,100,100,-47,-54,-68,-90,100,100,-92,100,100,100,100,100,-66,-87,-94,100,-67,-85,-36,-52,-71,-88,-74,100,-86,100,-91,100,100,100,-55,-58,100,100,-92,100,53.4,51.8,1,1,1,4,3,1
100,100,-62,-83,-35,-40,100,100,100,100,100,100,100,100,100,100,-46,-59,-64,-89,100,100,100,100,100,100,-92,100,-74,-88,100,100,-64,-87,-40,-53,-74,100,-71,100,-87,100,100,100,100,100,-59,-59,100,100,100,100,53.4,52.6,1,1,1,4,3,1
-87,100,-60,-79,-36,-41,100,100,100,100,100,100,100,100,100,100,-49,-59,-74,100,100,100,100,100,100,100,-92,100,-66,-88,100,100,-62,-86,-35,-49,-67,100,-74,-90,-85,100,100,100,100,100,-55,-60,-92,100,100,100,53.4,53.5,1,1,1,4,3,1
-86,100,-59,-75,-36,-39,100,100,100,100,100,100,100,100,100,100,-48,-60,-65,100,100,100,-92,100,100,100,-91,100,-63,-88,100,100,-70,-85,-35,-48,-71,100,-73,-90,-81,100,100,100,100,100,-59,-60,-92,100,100,100,53.4,54.3,1,1,1,4,3,1
-86,100,-59,-75,-41,-42,100,100,100,100,100,100,-95,100,100,100,-53,-60,-65,-89,100,100,-92,100,100,100,-87,100,-68,-88,-90,100,-70,-85,-42,-47,-80,-88,-69,-91,-83,100,100,100,100,100,-62,-62,100,100,-93,100,53.4,55.1,1,1,1,4,3,1
-91,100,-70,-80,-36,-46,100,100,-93,100,100,100,-95,100,100,100,-54,-63,-65,-85,-94,100,-93,100,100,100,-88,100,-71,100,-93,100,-74,-85,-43,-47,-71,-88,-75,-90,-83,100,100,100,100,100,-62,-62,-93,100,-90,100,53.4,56,1,1,1,4,3,1
-91,100,-66,-77,-33,-43,100,100,-93,100,100,100,100,100,100,100,-53,-64,-63,-86,-94,100,-93,100,100,100,-89,100,-69,100,-90,100,-76,-88,-40,-46,-67,100,-72,-90,-83,100,100,100,100,100,100,-64,-93,100,-89,100,53.4,56.8,1,1,1,4,3,1
-88,100,-64,-75,-38,-47,100,100,100,100,100,100,100,100,100,100,-53,-64,-62,-85,100,100,-93,100,100,100,100,100,-73,100,-89,100,-67,-86,-32,-44,-66,100,-67,100,-87,100,-95,100,100,100,100,-62,-93,100,-89,100,53.4,57.6,1,1,1,4,3,1
-85,100,-57,-77,-42,-46,100,100,100,100,100,100,100,100,100,100,-57,-60,-61,-84,-93,100,-93,100,100,100,100,100,-72,100,100,100,-70,-89,-32,-43,-66,-88,-68,100,-82,100,-95,100,100,100,-60,-62,100,100,-89,100,53.4,58.5,1,1,1,4,3,1
-82,100,-60,-77,-43,-49,100,100,100,100,100,100,100,100,100,100,-55,-62,-60,-85,-92,100,-92,100,100,100,-87,100,-71,100,100,100,-71,-87,-34,-45,-68,-85,-67,-90,-86,100,-94,100,100,100,-64,-63,100,100,100,100,53.4,59.3,1,1,1,4,3,1
100,100,-59,-80,-45,-52,100,100,100,100,100,100,100,100,100,100,-59,-61,-62,-85,100,100,100,100,100,100,100,100,-79,100,100,100,-70,-85,-32,-44,-73,-86,-66,-83,-87,100,-96,100,100,100,-70,-65,-94,100,-92,100,53.4,60.1,1,1,1,4,3,1
-96,100,-60,-80,-44,-58,100,100,100,100,100,100,100,100,100,100,-57,-63,-62,-85,-94,100,100,100,100,100,-89,100,-78,100,100,100,-68,-86,-34,-44,-70,-87,-67,-86,-83,100,-96,100,100,100,-72,-64,-92,100,-92,100,53.4,61,1,1,1,4,3,1
-93,100,-65,-80,-43,-56,-90,100,100,100,100,100,100,100,100,100,-59,-65,-73,-82,100,100,100,100,100,100,-89,100,-78,100,100,100,-73,-85,-30,-43,-68,100,-71,-87,-82,100,100,100,100,100,-61,-63,-90,100,-93,100,53.4,61.8,1,1,1,4,3,1
-81,100,-63,-78,-45,-58,-90,100,100,100,100,100,100,100,100,100,-55,-67,-68,-83,100,100,-92,100,100,100,-93,100,-82,100,-90,100,-71,-85,-30,-43,-68,100,-67,-84,-87,100,-93,100,100,100,-63,-66,-93,100,100,100,53.4,62.6,1,1,1,4,3,1
-84,100,-64,-81,-45,-59,100,100,100,100,100,100,100,100,100,100,-56,-64,-73,-85,100,100,-92,100,100,100,-93,100,-83,-89,-90,100,-67,-86,-32,-43,-62,-84,-70,-81,-87,100,-93,100,100,100,-66,-67,-93,100,100,100,53.4,63.5,1,1,1,4,3,1
-86,100,-65,-83,-51,-61,100,100,100,100,100,100,100,100,100,100,-51,-66,-72,-80,100,100,100,100,100,100,-91,100,-86,-89,100,100,-72,-80,-40,-50,-63,-85,-65,-84,-86,100,100,100,100,100,-65,-69,100,100,100,100,53.4,64.3,1,1,1,4,3,1
-93,100,-61,-78,-54,-63,100,100,100,100,100,100,100,100,100,100,-53,-62,-67,-80,100,100,100,100,100,100,-91,100,-80,-87,100,100,-71,-80,-46,-51,-60,-81,-60,-81,-85,100,100,100,100,100,-64,-65,100,100,100,100,53.4,65.1,1,1,1,4,3,1
-89,100,-62,-79,-53,-57,100,100,100,100,100,100,100,100,100,100,-54,-63,-74,-83,-91,100,100,100,100,100,100,100,-80,-87,100,100,-72,100,-39,-52,-58,-83,-58,-80,-85,100,100,100,100,100,-66,-66,100,100,100,100,53.4,66,1,1,1,4,3,1
-88,100,-64,-76,-54,-57,100,100,100,100,100,100,100,100,100,100,-62,-64,-74,-88,-91,100,100,100,100,100,-94,100,-81,-87,100,100,-73,100,-44,-48,-61,-83,-57,-84,-85,100,100,100,100,100,-62,-65,100,100,100,100,53.4,66.8,1,1,1,4,3,1
-88,100,-60,-77,-55,-58,100,100,100,100,100,100,100,100,100,100,-53,-66,-77,-85,100,100,100,100,100,100,-94,100,-82,-86,100,100,-73,-84,-40,-48,-66,-83,-68,-83,-85,100,100,100,100,100,-61,-61,100,100,100,100,53.4,67.6,1,1,1,4,3,1
100,100,-59,-76,-51,-57,100,100,100,100,100,100,100,100,100,100,-55,-64,-75,-87,100,100,100,100,100,100,100,100,-82,-85,100,100,-75,-84,-36,-50,-61,-80,-64,-80,100,100,100,100,100,100,-68,-62,100,100,100,100,53.4,68.4,1,1,1,4,3,1
100,100,-70,-77,-50,-59,100,100,100,100,100,100,100,100,100,100,-60,-60,-70,-88,100,100,100,100,100,100,100,100,-85,-85,100,100,-78,-82,-44,-50,-61,-80,-62,-78,-83,100,100,100,100,100,-71,-59,100,100,-94,100,53.4,69.3,1,1,1,4,3,1
-93,100,-70,-78,-48,-57,100,100,100,100,100,100,100,100,100,100,-57,-64,-65,-83,100,100,-90,100,100,100,100,100,-80,-86,100,100,-78,-81,-46,-49,-62,-81,-63,-78,-84,100,100,100,100,100,-66,-65,100,100,-93,100,53.4,70.1,1,1,1,4,3,1
-75,-85,-39,-47,-58,-59,100,100,100,100,100,100,-94,100,100,100,-53,-47,-84,100,-81,-88,-75,100,100,100,-88,100,-80,-79,-81,-87,-80,100,-58,-64,-84,100,-89,100,-72,-86,-74,-82,100,100,-46,-48,-71,-86,-82,100,52.4,25.2,1,1,1,4,3,1
-71,-87,-30,-44,-59,-59,100,100,-93,100,100,100,-94,100,100,100,-57,-51,-83,100,-74,-86,-72,100,100,100,100,100,-86,100,-68,-87,-80,100,-51,-61,-89,100,-91,100,-72,-82,-71,-82,100,100,-47,-46,-65,-86,-88,100,52.5,26,1,1,1,4,3,1
-73,-87,-35,-41,-53,-66,-94,100,-93,100,100,100,100,100,100,100,-54,-54,-86,-90,-82,-86,-73,100,-93,100,-83,100,-73,-91,-61,100,-81,100,-46,-59,-90,100,-90,100,-62,-80,-71,-89,100,100,-59,-44,-73,-89,-84,100,52.5,26.9,1,1,1,4,3,1
-74,-84,-37,-44,-56,-62,-91,100,100,100,100,100,100,100,100,100,-45,-54,-86,-90,-79,-86,-66,100,-93,100,-81,100,-78,-91,-74,100,-80,100,-47,-57,-91,100,-90,100,-62,-83,-78,-88,100,100,-55,-43,-65,-89,-83,100,52.5,27.7,1,1,1,4,3,1
-75,-87,-42,-47,-56,-69,-91,100,100,100,100,100,100,100,100,100,-39,-48,-86,100,-86,100,-76,100,100,100,-75,100,-76,100,-71,100,-78,100,-47,-55,-91,100,-82,100,-62,100,-77,100,100,100,-48,-47,-71,-89,-81,100,52.5,28.5,1,1,1,4,3,1
-78,-88,-39,-58,-59,-69,-92,100,100,100,100,100,100,100,100,100,-36,-53,-91,100,-88,100,-78,100,100,100,-72,100,-75,-89,-70,100,-76,100,-43,-54,-87,100,-76,100,-60,-80,-77,100,100,100,-45,-48,-72,100,-80,100,52.5,29.4,1,1,1,4,3,1
-79,-88,-43,-58,-63,-62,-92,100,-92,100,100,100,100,100,100,100,-36,-54,-81,100,-87,100,-69,100,100,100,-71,100,-68,-89,-75,100,-76,100,-43,-57,-83,100,-81,100,-53,-80,-71,100,100,100,-40,-48,-69,100,100,100,52.5,30.2,1,1,1,4,3,1
100,100,-41,-59,-61,-58,100,100,-92,100,100,100,100,100,100,100,-38,-49,-84,100,100,100,-70,100,100,100,-75,100,-67,-86,-76,100,-81,100,-46,-66,-84,100,-90,100,-63,-82,-71,100,100,100,-44,-44,-70,100,100,100,52.5,31,1,1,1,4,3,1
-83,100,-48,-63,-60,-62,-94,100,100,100,100,100,100,100,100,100,-42,-53,-89,100,-84,100,-77,100,100,100,-71,100,-72,-86,-59,100,-87,100,-45,-58,-88,100,-86,100,-62,-82,-79,100,100,100,-40,-46,-79,100,-79,100,52.5,31.9,1,1,1,4,3,1
-83,100,-51,-63,-62,-68,-94,100,100,100,100,100,100,100,100,100,-39,-48,-90,100,-84,100,-69,100,100,100,-70,100,-73,-86,-81,100,-79,100,-47,-57,-88,100,-86,100,-62,-80,-81,100,100,100,-43,-48,-81,100,-79,100,52.5,32.7,1,1,1,4,3,1
100,100,-55,-69,-63,-65,-92,100,100,100,100,100,100,100,100,100,-32,-45,-84,100,100,100,-74,100,100,100,100,100,-80,-85,-82,100,-81,100,-42,-56,-88,100,-85,100,-63,-81,-83,100,100,100,-37,-43,-78,100,-74,100,52.5,33.5,1,1,1,4,3,1
-81,100,-60,-66,-63,-62,-92,100,100,100,100,100,100,100,100,100,-33,-43,-85,100,100,100,-75,100,100,100,-78,100,-70,-88,-81,100,-88,100,-46,-53,100,100,-81,100,-61,-85,-84,100,100,100,-37,-39,-82,100,-82,100,52.5,34.4,1,1,1,4,3,1
-85,100,-52,-71,-61,-62,100,100,-90,100,100,100,100,100,100,100,-33,-52,-79,100,100,100,-73,100,100,100,-80,100,-73,-87,-82,100,-83,-89,-46,-51,100,100,-80,100,-64,-88,-85,100,100,100,-37,-41,-86,100,-79,100,52.5,35.2,1,1,1,4,3,1
-86,100,-48,-68,-59,-58,100,100,-92,100,100,100,100,100,100,100,-31,-50,-82,100,-92,100,-77,100,100,100,-74,100,-65,-86,-78,100,-77,-89,-44,-52,-89,100,-77,100,-72,-88,-87,100,100,100,-37,-44,-87,100,-72,100,52.5,36,1,1,1,4,3,1
100,100,-52,-68,-54,-62,100,100,-92,100,100,100,100,100,100,100,-33,-46,-85,100,-92,-90,-75,100,100,100,-78,100,-68,-88,-86,100,-75,100,-44,-61,-87,100,-82,100,-65,-87,-84,100,100,100,-43,-45,100,100,-69,100,52.5,36.9,1,1,1,4,3,1
100,100,-58,-69,-51,-62,100,100,-93,100,100,100,100,100,100,100,-31,-47,-75,100,-87,-90,-81,100,100,100,-71,100,-62,-86,-86,100,-75,-90,-40,-53,-92,100,-85,100,-72,-87,-82,100,100,100,-43,-47,-94,100,-76,100,52.5,37.7,1,1,1,4,3,1
100,-90,-58,-69,-49,-58,-96,100,-93,100,100,100,100,100,100,100,-32,-49,-73,100,-91,100,-84,100,100,100,-75,100,-71,-86,-90,100,100,-90,-43,-53,-90,100,-83,100,-76,-87,-92,100,100,100,-46,-48,-91,100,-70,100,52.5,38.5,1,1,1,4,3,1
100,-90,-56,-71,-57,-52,-96,100,100,100,-95,100,100,100,100,100,-30,-44,-80,100,-92,100,-85,100,100,100,-75,100,-69,-83,-90,100,-82,-89,-40,-51,-82,100,-82,100,-77,-89,-92,100,100,100,-45,-55,-90,100,-65,-89,52.5,39.3,1,1,1,4,3,1
100,100,-57,-69,-52,-54,100,100,100,100,-95,100,100,100,100,100,-30,-43,-81,100,-82,100,-82,100,100,100,-80,100,-65,-86,-87,100,-77,-89,-45,-53,-87,100,-84,100,-75,-89,-85,100,100,100,-45,-50,-87,100,-72,-89,52.5,40.2,1,1,1,4,3,1
100,100,-59,-72,-50,-57,100,100,100,100,100,100,100,100,100,100,-31,-46,-84,100,-82,100,-80,100,100,100,-80,100,-74,-87,-89,100,-77,100,-48,-53,-80,100,-81,100,-69,-86,-85,100,100,100,-50,-49,-84,100,-73,100,52.5,41,1,1,1,4,3,1
-83,100,-60,-77,-55,-58,100,100,100,100,100,100,100,100,100,100,-33,-42,-87,100,100,100,-79,100,100,100,-86,100,-74,-89,-89,100,-77,100,-45,-53,-77,100,-80,100,-72,-86,100,100,100,100,-50,-53,-83,100,-72,100,52.5,41.8,1,1,1,4,3,1
-83,100,-65,-82,-57,-59,100,100,100,100,100,100,100,100,100,100,-35,-44,-78,100,-90,100,-87,100,100,100,-89,100,-66,-84,-90,100,-75,100,-48,-52,-87,100,-75,100,-76,100,-86,100,100,100,-56,-56,100,100,-73,100,52.5,42.7,1,1,1,4,3,1
100,100,-63,-72,-53,-59,100,100,100,100,100,100,100,100,100,100,-40,-42,-83,100,-88,100,-87,100,100,100,-79,100,-66,-85,-91,100,-74,-87,-54,-56,-86,100,-86,100,-81,100,-86,100,100,100,-57,-53,100,100,-76,100,52.5,43.5,1,1,1,4,3,1
100,-85,-62,-71,-53,-60,100,100,100,100,100,100,100,100,100,100,-46,-42,-86,-91,-89,-84,100,100,100,100,-79,100,-60,-83,-91,100,-71,-87,-46,-56,-77,100,-77,100,-78,-88,100,100,100,100,-51,-51,100,100,-77,100,52.5,44.3,1,1,1,4,3,1
-87,-85,-64,-72,-55,-54,100,100,100,100,100,100,100,100,100,100,-39,-46,-78,-90,-87,-84,100,100,100,100,-87,100,-62,-82,-90,100,-71,-86,-44,-54,-75,100,-74,100,-82,-88,-95,100,100,100,-49,-55,100,100,-80,100,52.5,45.2,1,1,1,4,3,1
-87,100,-64,-72,-52,-49,100,100,100,100,100,100,100,100,100,100,-41,-51,-74,-89,-86,100,100,100,100,100,-89,100,-67,-86,-90,100,-79,-86,-39,-57,-82,100,-70,100,-83,100,-95,100,100,100,-57,-58,100,100,-80,100,52.5,46,1,1,1,4,3,1
100,100,-61,-75,-53,-52,100,100,100,100,100,100,100,100,100,100,-47,-52,-76,-88,100,100,-92,100,100,100,-89,100,-65,-86,-90,100,-74,-85,-41,-55,-84,100,-74,100,-82,100,100,100,100,100,-59,-54,100,100,-84,100,52.5,46.8,1,1,1,4,3,1
-87,100,-63,-75,-51,-54,100,100,100,100,100,100,100,100,100,100,-43,-56,-75,100,-89,100,-89,100,100,100,-89,100,-64,-86,-92,100,-65,-84,-38,-52,-76,100,-71,100,-81,100,-93,100,100,100,-58,-56,100,100,-91,100,52.5,47.7,1,1,1,4,3,1
-87,100,-64,-77,-48,-48,100,100,100,100,100,100,100,100,100,100,-46,-55,-79,-90,-93,100,-90,100,100,100,-93,100,-65,-86,-92,100,-67,-84,-41,-54,-76,100,-80,100,-78,100,-93,100,100,100,-58,-60,-94,100,-93,100,52.5,48.5,1,1,1,4,3,1
100,100,-61,-79,-46,-48,-94,100,100,100,100,100,100,100,100,100,-49,-62,-74,-90,-94,100,-90,100,100,100,-94,100,-67,-87,100,100,-64,-85,-41,-53,-72,100,-83,100,-81,100,100,100,100,100,-66,-64,-94,100,100,100,52.5,49.3,1,1,1,4,3,1
100,100,-61,-76,-50,-50,-94,100,100,100,100,100,100,100,100,100,-46,-61,-71,-86,-94,100,100,100,100,100,-92,100,-71,-89,-95,100,-67,-81,-40,-51,-74,-90,-80,100,-81,100,100,100,100,100,-65,-61,100,100,100,100,52.5,50.2,1,1,1,4,3,1
-93,100,-67,-75,-44,-48,100,100,100,100,100,100,100,100,100,100,-47,-57,-71,-86,-94,100,-90,100,100,100,-92,100,-66,-89,-95,100,-64,-79,-35,-50,-73,-90,-75,100,-80,100,-94,100,100,100,-60,-59,100,100,-91,100,52.5,51,1,1,1,4,3,1
-90,100,-67,-78,-55,-43,100,100,100,100,100,100,100,100,100,100,-46,-63,-70,-88,100,100,-90,100,100,100,-90,100,-65,-88,-92,100,-62,-79,-37,-51,-70,100,-70,100,-79,100,-94,100,100,100,-58,-63,100,100,-91,100,52.5,51.8,1,1,1,4,3,1
-89,100,-65,-77,-43,-44,100,100,100,100,100,100,100,100,100,100,-51,-62,-70,-89,-90,100,-91,100,100,100,-87,100,-69,-88,-92,100,-57,-85,-37,-56,-66,-89,-72,100,-77,100,-94,100,100,100,-59,-63,-92,100,-94,100,52.5,52.7,1,1,1,4,3,1
-85,100,-65,-78,-40,-39,100,100,100,100,100,100,100,100,100,100,-53,-58,-68,-87,-90,100,-91,100,100,100,-88,100,-68,-88,-94,100,-61,-82,-42,-53,-67,-89,-74,100,-81,100,-94,100,100,100,-59,-64,-92,100,-94,100,52.5,53.5,1,1,1,4,3,1
-86,100,-61,-79,-36,-38,100,100,100,100,100,100,100,100,100,100,-54,-60,-68,-88,100,100,100,100,100,100,-91,100,-72,-86,-94,100,-65,-81,-38,-50,-68,100,-69,100,-86,100,100,100,100,100,-60,-63,100,100,-91,100,52.5,54.3,1,1,1,4,3,1
-86,100,-58,-79,-38,-39,100,100,100,100,-93,100,-93,100,100,100,-49,-62,-59,-84,100,100,100,100,100,100,-92,100,-72,-89,-94,100,-61,100,-34,-51,-78,100,-75,100,-85,100,100,100,100,100,-58,-61,100,100,-88,100,52.5,55.1,1,1,1,4,3,1
100,100,-60,-80,-33,-38,100,100,100,100,-93,100,-93,100,100,100,-48,-62,-65,-85,-93,100,100,100,100,100,-92,100,-66,-89,-92,100,-61,-81,-37,-49,-77,-89,-81,100,-87,100,100,100,100,100,-58,-63,100,100,-87,100,52.5,56,1,1,1,4,3,1
100,100,-64,-79,-39,-43,100,100,100,100,100,100,100,100,100,100,-59,-59,-61,-86,-93,100,-92,100,100,100,100,100,-70,100,-91,100,-63,-82,-42,-51,-83,-87,-71,-88,-88,100,100,100,100,100,-71,-65,-93,100,-91,100,52.5,56.8,1,1,1,4,3,1
100,100,-68,-80,-49,-47,-92,100,100,100,100,100,100,100,100,100,-59,-56,-70,-85,100,100,-90,100,100,100,-91,100,-72,-88,-94,100,-61,-83,-33,-51,-78,-87,-67,-88,-83,100,100,100,100,100,-70,-60,-94,100,-94,100,52.5,57.6,1,1,1,4,3,1
-87,100,-70,-79,-45,-54,-92,100,100,100,100,100,100,100,100,100,-59,-66,-68,-84,100,100,-90,100,100,100,-91,100,-78,-88,-94,100,-68,-82,-29,-47,-71,-87,-67,-89,-84,100,-94,100,100,100,-68,-65,-94,100,-90,100,52.5,58.5,1,1,1,4,3,1
-85,100,-71,-81,-48,-54,100,100,100,100,100,100,100,100,100,100,-59,-63,-66,-82,100,100,100,100,100,100,100,100,-80,100,-94,100,-67,-83,-40,-48,-65,-86,-63,-89,-84,100,-93,100,100,100,-70,-69,100,100,-90,100,52.5,59.3,1,1,1,4,3,1
-88,100,-64,-82,-52,-55,100,100,100,100,100,100,100,100,100,100,-65,-61,-64,-85,100,100,100,100,100,100,-89,100,-79,-91,100,100,-66,-83,-39,-41,-66,-86,-64,-89,-86,100,-93,100,100,100,-69,-66,100,100,-91,100,52.5,60.1,1,1,1,4,3,1
-84,100,-62,-81,-49,-58,100,100,100,100,100,100,100,100,100,100,-59,-64,-65,-86,-94,100,100,100,100,100,-89,100,-72,-91,100,100,-75,-83,-37,-43,-63,-85,-62,-89,-86,100,100,100,100,100,-63,-66,100,100,100,100,52.6,61,1,1,1,4,3,1
-90,100,-63,-81,-52,-59,100,100,100,100,100,100,100,100,100,100,-57,-67,-70,-80,-94,100,100,100,100,100,100,100,-72,100,100,100,-74,-86,-33,-43,-62,-85,-72,-79,-84,100,100,100,100,100,-63,-68,100,100,-88,100,52.6,61.8,1,1,1,4,3,1
-89,100,-67,-80,-47,-58,100,100,100,100,100,100,100,100,100,100,-59,-62,-69,-80,100,100,100,100,100,100,100,100,-78,-88,100,100,-74,-87,-34,-44,-64,-90,-66,-81,-84,100,100,100,100,100,-64,-70,100,100,-88,100,52.6,62.6,1,1,1,4,3,1
-87,100,-73,-81,-50,-56,100,100,100,100,100,100,100,100,100,100,-59,-56,-67,-78,100,100,100,100,100,100,100,100,-79,-88,100,100,-79,-83,-34,-42,-64,-83,-72,-83,100,100,100,100,100,100,-63,-62,100,100,100,100,52.6,63.5,1,1,1,4,3,1
100,100,-68,-84,-65,-57,100,100,100,100,100,100,100,100,100,100,-58,-61,-69,-82,100,100,100,100,100,100,-92,100,-73,-89,100,100,-79,-80,-41,-48,-61,-81,-69,-83,-82,100,100,100,100,100,-62,-63,100,100,-92,100,52.6,64.3,1,1,1,4,3,1
100,100,-66,-84,-62,-58,100,100,100,100,100,100,100,100,100,100,-55,-63,-67,-85,100,100,100,100,100,100,-93,100,-72,-90,100,100,-74,-78,-40,-51,-57,-80,-65,100,-78,100,100,100,100,100,-74,-69,100,100,-91,100,52.6,65.1,1,1,1,4,3,1
100,100,-71,-83,-56,-62,100,100,100,100,100,100,100,100,100,100,-62,-61,-64,-84,100,100,100,100,100,100,-92,100,-72,-88,100,100,-75,-80,-32,-55,-55,-80,-58,-81,-77,100,100,100,100,100,-68,-70,100,100,-93,100,52.6,66,1,1,1,4,3,1
-92,100,-70,-80,-54,-60,100,100,100,100,100,100,100,100,100,100,-67,-62,-64,-83,-93,100,100,100,100,100,-92,100,-83,-89,100,100,-77,-83,-34,-52,-59,-80,-60,-83,100,100,-92,100,100,100,-69,-73,100,100,-94,100,52.6,66.8,1,1,1,4,3,1
-91,100,-76,-83,-53,-61,100,100,100,100,100,100,100,100,100,100,-62,-69,-61,-84,-93,100,100,100,100,100,-92,100,-78,-90,100,100,-77,-82,-47,-50,-59,-84,-58,-78,-87,100,-92,100,100,100,-70,-70,-92,100,-93,100,52.6,67.6,1,1,1,4,3,1
-91,100,-71,-83,-52,-60,-91,100,100,100,100,100,100,100,100,100,-62,-60,-75,-86,100,100,-92,100,100,100,-92,100,-85,-90,100,100,-77,-86,-45,-50,-58,-83,-58,-79,-87,100,100,100,100,100,-67,-64,-94,100,-91,100,52.6,68.5,1,1,1,4,3,1
100,100,-72,-84,-56,-66,-90,100,100,100,100,100,100,100,100,100,-62,-60,-74,-86,100,100,-94,100,100,100,-87,100,-84,100,100,100,-81,-84,-46,-53,-60,-82,-68,-80,-87,100,100,100,100,100,-70,-68,-94,100,-92,100,52.6,69.3,1,1,1,4,3,1
-94,100,-74,-84,-57,-64,-90,100,100,100,100,100,100,100,100,100,-63,-68,-72,-88,100,100,-93,100,100,100,-91,100,-76,100,100,100,-83,-85,-42,-55,-64,-84,-67,-83,-82,100,100,100,100,100,-71,-69,100,100,-92,100,52.6,70.1,1,1,1,4,3,1
-78,100,-54,-83,-90,100,-72,-89,-65,100,-65,-84,-70,-86,100,100,-81,100,-60,-66,-88,100,-58,-69,-76,100,-67,-85,-74,-65,-53,-69,-55,-53,-86,100,-65,-69,-69,-74,-35,-48,-40,-47,-68,-85,-77,100,-43,-66,-69,-86,54.3,21.5,2,1,1,4,3,1
